"","Accession.Number","Bimp","GeneID","Locus","Protein.Name"
"4192","XP_003492472.1","BIMP25672",100740960,"LOC100740960","uncharacterized protein LOC100740960 isoform X1"
"4193","XP_003492473.1","BIMP25677",100741077,"LOC100741077","sodium-independent sulfate anion transporter"
"4194","XP_003492477.1","BIMP10031",100741557,"LOC100741557","post-GPI attachment to proteins factor 2-like"
"4195","XP_003492478.1","BIMP10031",100741557,"LOC100741557","post-GPI attachment to proteins factor 2-like"
"4196","XP_003492479.1","BIMP10035",100741755,"LOC100741755","transcriptional enhancer factor TEF-1 isoform X1"
"4197","XP_003492480.1","BIMP10036",100741872,"LOC100741872","arginine--tRNA ligase, cytoplasmic"
"4198","XP_003492481.2","BIMP10037",100741988,"LOC100741988","leucine--tRNA ligase, cytoplasmic isoform X1"
"4199","XP_003492482.1","BIMP10021",100742108,"LOC100742108","homocysteine S-methyltransferase-like"
"4200","XP_003492485.1","BIMP10010",100742478,"LOC100742478","zinc transporter 1 isoform X3"
"4201","XP_003492486.1","BIMP10030",100742600,"LOC100742600","protein MAK16 homolog A isoform X1"
"4202","XP_003492488.1","BIMP10022",100742838,"LOC100742838","homocysteine S-methyltransferase YbgG-like"
"4203","XP_003492491.1","BIMP14619",100743395,"LOC100743395","coiled-coil domain-containing protein 22 homolog"
"4204","XP_003492497.1","BIMP14630",100744338,"LOC100744338","biorientation of chromosomes in cell division protein 1-like 1 isoform X1"
"4205","XP_003492499.1","BIMP14625",100744582,"LOC100744582","uncharacterized protein LOC100744582"
"4206","XP_003492500.2","BIMP25243",100744822,"LOC100744822","probable RNA helicase armi"
"4207","XP_003492501.1","BIMP25236",100744942,"LOC100744942","eukaryotic translation initiation factor 3 subunit E isoform X1"
"4208","XP_003492502.1","BIMP25244",100745063,"LOC100745063","zinc finger CCCH domain-containing protein 15 homolog"
"4209","XP_003492503.1","BIMP25235",100745183,"LOC100745183","dimethyladenosine transferase 1, mitochondrial"
"4210","XP_003492504.1","BIMP25234",100745309,"LOC100745309","cytochrome c oxidase assembly factor 3, mitochondrial"
"4211","XP_003492508.1","BIMP25232",100745754,"LOC100745754","tyramine receptor 1"
"4212","XP_003492512.1","BIMP25260",100746547,"LOC100746547","heat shock 70 kDa protein cognate 5"
"4213","XP_003492513.1","BIMP25261",100746668,"LOC100746668","protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha"
"4214","XP_003492515.1","BIMP25240",100746900,"LOC100746900","titin isoform X1"
"4215","XP_003492521.1","BIMP25248",100747614,"LOC100747614","peritrophin-1"
"4216","XP_003492529.1","BIMP12697",100748585,"LOC100748585","uncharacterized protein LOC100748585 isoform X2"
"4217","XP_003492530.2","BIMP12700",100748704,"LOC100748704","protein CASC1 isoform X1"
"4218","XP_003492533.1","BIMP12703",100749138,"LOC100749138","mediator of RNA polymerase II transcription subunit 11"
"4219","XP_003492534.1","BIMP12691",100749259,"LOC100749259","uncharacterized protein LOC100749259 isoform X2"
"4220","XP_003492536.1","BIMP12690",100749491,"LOC100749491","uncharacterized protein LOC100749491"
"4221","XP_003492537.1","BIMP12689",100749607,"LOC100749607","formylglycine-generating enzyme isoform X1"
"4222","XP_003492540.1","BIMP12688",100749848,"LOC100749848","voltage-gated potassium channel subunit beta-2 isoform X1"
"4223","XP_003492541.1","BIMP12708",100750050,"LOC100750050","sodium/potassium/calcium exchanger 4 isoform X1"
"4224","XP_003492542.1","BIMP12687",100750167,"LOC100750167","sodium/potassium/calcium exchanger 4"
"4225","XP_003492543.1","BIMP12709",100740066,"LOC100740066","cdc42 homolog"
"4226","XP_003492544.1","BIMP12710",100740190,"LOC100740190","protein ecdysoneless"
"4227","XP_003492545.1","BIMP12684",100740307,"LOC100740307","tether containing UBX domain for GLUT4 isoform X1"
"4228","XP_003492548.1","BIMP12701",100740669,"LOC100740669","vanin-like protein 1"
"4229","XP_003492550.1","BIMP12705",100741032,"LOC100741032","fatty acyl-CoA reductase wat isoform X1"
"4230","XP_003492551.2","BIMP12707",100741154,"LOC100741154","sodium/potassium/calcium exchanger 4-like isoform X2"
"4231","XP_003492552.1","BIMP12685",100741268,"LOC100741268","probable serine/threonine-protein kinase DDB_G0282963"
"4232","XP_003492555.1","BIMP10448",100741636,"LOC100741636","uncharacterized protein LOC100741636 isoform X1"
"4233","XP_003492558.1","BIMP10450",100741950,"LOC100741950","UPF0428 protein CXorf56 homolog"
"4234","XP_003492564.1","BIMP10452",100742564,"LOC100742564","mediator of RNA polymerase II transcription subunit 23"
"4235","XP_003492565.1","BIMP10443",100742680,"LOC100742680","pyrimidodiazepine synthase"
"4236","XP_003492567.1","BIMP10441",100742915,"LOC100742915","GDNF-inducible zinc finger protein 1-like isoform X3"
"4237","XP_003492569.1","BIMP10438",100743036,"LOC100743036","alpha-tubulin N-acetyltransferase isoform X3"
"4238","XP_003492570.1","BIMP10453",100743235,"LOC100743235","phospholipid phosphatase 6 isoform X1"
"4239","XP_003492571.1","BIMP10454",100743359,"LOC100743359","probable cytochrome P450 4aa1 isoform X1"
"4240","XP_003492574.1","BIMP10456",100743679,"LOC100743679","cytosolic non-specific dipeptidase"
"4241","XP_003492576.1","BIMP10457",100743913,"LOC100743913","ubiquitin carboxyl-terminal hydrolase"
"4242","XP_003492577.1","BIMP10439",100744031,"LOC100744031","uncharacterized protein LOC100744031"
"4243","XP_003492578.1","BIMP10437",100744146,"LOC100744146","HBS1-like protein isoform X2"
"4244","XP_003492579.1","BIMP24384",100744264,"LOC100744264","pre-mRNA-splicing factor SLU7"
"4245","XP_003492580.1","BIMP24385",100744380,"LOC100744380","mitochondrial import receptor subunit TOM7 homolog"
"4246","XP_003492582.1","BIMP24386",100744502,"LOC100744502","cullin-1"
"4247","XP_003492584.1","BIMP24314",100744784,"LOC100744784","deformed epidermal autoregulatory factor 1"
"4248","XP_003492585.1","BIMP24388",100744907,"LOC100744907","U3 small nucleolar RNA-associated protein 18 homolog"
"4249","XP_003492587.2","BIMP24313",100745150,"LOC100745150","band 7 protein AGAP004871 isoform X1"
"4250","XP_003492588.1","BIMP24312",100745271,"LOC100745271","glutamate dehydrogenase, mitochondrial"
"4251","XP_003492589.1","BIMP24390",100745389,"LOC100745389","DIS3-like exonuclease 2 isoform X1"
"4252","XP_003492590.1","BIMP24311",100745509,"LOC100745509","E3 ubiquitin-protein ligase MARCH6"
"4253","XP_003492592.1","BIMP24392",100745755,"LOC100745755","85/88 kDa calcium-independent phospholipase A2"
"4254","XP_003492593.1","BIMP24310",100745872,"LOC100745872","protein chibby homolog 1"
"4255","XP_003492594.1","BIMP24309",100745991,"LOC100745991","transcription factor SOX-10-like"
"4256","XP_003492595.1","BIMP24393",100746111,"LOC100746111","transcription factor Sox-10-like isoform X1"
"4257","XP_003492598.1","BIMP24347",100746584,"LOC100746584","dipeptidyl aminopeptidase-like protein 6 isoform X2"
"4258","XP_003492600.1","BIMP24349",100746828,"LOC100746828","telomerase Cajal body protein 1 isoform X1"
"4259","XP_003492603.1","BIMP24346",100747177,"LOC100747177","LETM1 domain-containing protein 1"
"4260","XP_003492605.2","BIMP24344",100747419,"LOC100747419","zinc finger protein 628 isoform X1"
"4261","XP_003492606.1","BIMP24343",100747536,"LOC100747536","zinc finger BED domain-containing protein 1 isoform X1"
"4262","XP_003492607.1","BIMP24358",100747658,"LOC100747658","zinc finger protein 251-like"
"4263","XP_003492617.2","BIMP24318",100748855,"LOC100748855","uncharacterized protein LOC100748855 isoform X1"
"4264","XP_003492618.1","BIMP24317",100748975,"LOC100748975","uncharacterized protein LOC100748975"
"4265","XP_003492620.1","BIMP24387",100749213,"LOC100749213","sperm-associated antigen 6-like isoform X1"
"4266","XP_003492621.1","BIMP24345",100749329,"LOC100749329","xylosyltransferase oxt"
"4267","XP_003492623.1","BIMP24363",100749571,"LOC100749571","kelch-like protein diablo"
"4268","XP_003492624.1","BIMP24342",100749692,"LOC100749692","nuclear pore membrane glycoprotein 210 isoform X1"
"4269","XP_003492625.1","BIMP24341",100749811,"LOC100749811","BLOC-1-related complex subunit 8 homolog"
"4270","XP_003492626.1","BIMP24364",100749929,"LOC100749929","protein canopy 4"
"4271","XP_003492628.1","BIMP24340",100750168,"LOC100750168","28S ribosomal protein S33, mitochondrial"
"4272","XP_003492629.1","BIMP24366",100740067,"LOC100740067","guanine nucleotide-binding protein subunit gamma-e"
"4273","XP_003492630.1","BIMP24367",100740191,"LOC100740191","probable chitinase 10"
"4274","XP_003492631.1","BIMP24339",100740308,"LOC100740308","chaoptin isoform X1"
"4275","XP_003492632.1","BIMP24368",100740431,"LOC100740431","WD repeat-containing protein 37 isoform X2"
"4276","XP_003492633.1","BIMP24338",100740552,"LOC100740552","tRNA pseudouridine(38/39) synthase"
"4277","XP_003492634.2","BIMP24369",100740670,"LOC100740670","1,5-anhydro-D-fructose reductase isoform X1"
"4278","XP_003492637.1","BIMP24333",100741033,"LOC100741033","zinc finger protein 37 homolog isoform X1"
"4279","XP_003492638.1","BIMP24375",100741155,"LOC100741155","metabotropic glutamate receptor 8-like isoform X1"
"4280","XP_003492639.1","BIMP24332",100741269,"LOC100741269","biotin--protein ligase isoform X1"
"4281","XP_003492640.1","BIMP24376",100741393,"LOC100741393","MTRF1L release factor glutamine methyltransferase"
"4282","XP_003492641.1","BIMP25629",100741514,"LOC100741514","protein kibra isoform X1"
"4283","XP_003492641.1","BIMP24327",100741514,"LOC100741514","protein kibra isoform X1"
"4284","XP_003492642.1","BIMP24377",100741637,"LOC100741637","protein FAM114A2"
"4285","XP_003492643.1","BIMP24325",100741756,"LOC100741756","nucleoporin p58/p45 isoform X1"
"4286","XP_003492645.1","BIMP24322",100741989,"LOC100741989","peptidyl-prolyl cis-trans isomerase-like 1 isoform X1"
"4287","XP_003492646.1","BIMP24380",100742109,"LOC100742109","activin receptor type-1 isoform X1"
"4288","XP_003492647.1","BIMP24379",100742229,"LOC100742229","mid1-interacting protein 1-B"
"4289","XP_003492648.1","BIMP24319",100742352,"LOC100742352","endothelin-converting enzyme homolog isoform X3"
"4290","XP_003492650.1","BIMP14732",100742601,"LOC100742601","uncharacterized protein LOC100742601"
"4291","XP_003492651.1","BIMP10375",100742721,"LOC100742721","cytochrome c oxidase assembly protein COX11, mitochondrial"
"4292","XP_003492652.1","BIMP10376",100742839,"LOC100742839","cytosolic Fe-S cluster assembly factor NUBP1 homolog isoform X1"
"4293","XP_003492656.1","BIMP10372",100743443,"LOC100743443","regulator of MON1-CCZ1 complex isoform X2"
"4294","XP_003492657.1","BIMP10381",100743565,"LOC100743565","CSC1-like protein 2 isoform X2"
"4295","XP_003492658.1","BIMP10371",100743680,"LOC100743680","histone-lysine N-methyltransferase NSD2 isoform X6"
"4296","XP_003492659.1","BIMP10371",100743680,"LOC100743680","histone-lysine N-methyltransferase NSD2 isoform X4"
"4297","XP_003492661.1","BIMP10382",100743992,"LOC100743992","importin subunit alpha-3 isoform X2"
"4298","XP_003492662.1","BIMP10368",100744105,"LOC100744105","39S ribosomal protein L3, mitochondrial isoform X2"
"4299","XP_003492665.1","BIMP10384",100744462,"LOC100744462","4-aminobutyrate aminotransferase, mitochondrial isoform X2"
"4300","XP_003492666.1","BIMP10365",100744583,"LOC100744583","VPS35 endosomal protein sorting factor-like isoform X1"
"4301","XP_003492667.1","BIMP10364",100744704,"LOC100744704","THO complex subunit 5 homolog"
"4302","XP_003492668.1","BIMP10386",100744823,"LOC100744823","structural maintenance of chromosomes protein 4"
"4303","XP_003492669.1","BIMP10387",100744943,"LOC100744943","putative inorganic phosphate cotransporter isoform X1"
"4304","XP_003492676.1","BIMP10363",100745792,"LOC100745792","phosphatidylinositol-glycan biosynthesis class X protein isoform X2"
"4305","XP_003492677.1","BIMP15006",100745911,"LOC100745911","flagellar attachment zone protein 1 isoform X3"
"4306","XP_003492678.1","BIMP15006",100745911,"LOC100745911","flagellar attachment zone protein 1 isoform X1"
"4307","XP_003492680.1","BIMP15016",100746232,"LOC100746232","protein GDAP2 homolog"
"4308","XP_003492681.1","BIMP15017",100746353,"LOC100746353","2-acylglycerol O-acyltransferase 1"
"4309","XP_003492684.2","BIMP15011",100746708,"LOC100746708","translation machinery-associated protein 16"
"4310","XP_003492690.1","BIMP25003",100747537,"LOC100747537","aminopeptidase N"
"4311","XP_003492692.1","BIMP25005",100747781,"LOC100747781","acidic leucine-rich nuclear phosphoprotein 32 family member A isoform X2"
"4312","XP_003492696.1","BIMP15989",100748263,"LOC100748263","uncharacterized protein LOC100748263 isoform X1"
"4313","XP_003492701.1","BIMP15996",100642189,"LOC100642189","elongation factor 1-alpha"
"4314","XP_003492703.1","BIMP15997",100749018,"LOC100749018","28S ribosomal protein S14, mitochondrial"
"4315","XP_003492708.1","BIMP15974",100749608,"LOC100749608","fatty acyl-CoA reductase 1"
"4316","XP_003492713.1","BIMP15977",100750206,"LOC100750206","sorting nexin-2"
"4317","XP_003492717.1","BIMP14177",100740471,"LOC100740471","uncharacterized protein LOC100740471 isoform X6"
"4318","XP_003492718.1","BIMP14194",100740595,"LOC100740595","MAP/microtubule affinity-regulating kinase 3 isoform X3"
"4319","XP_003492720.1","BIMP14195",100740840,"LOC100740840","sorting nexin-17"
"4320","XP_003492721.1","BIMP14175",100740961,"LOC100740961","serine/threonine-protein kinase 3 isoform X2"
"4321","XP_003492725.1","BIMP14173",100741317,"LOC100741317","exostosin-1"
"4322","XP_003492726.1","BIMP14199",100741515,"LOC100741515","protein FAM76A"
"4323","XP_003492727.1","BIMP14171",100741638,"LOC100741638","PR domain zinc finger protein 1 isoform X2"
"4324","XP_003492728.1","BIMP14170",100741757,"LOC100741757","uncharacterized protein LOC100741757 isoform X1"
"4325","XP_003492728.1","BIMP23054",100741757,"LOC100741757","uncharacterized protein LOC100741757 isoform X1"
"4326","XP_003492728.1","BIMP14165",100741757,"LOC100741757","uncharacterized protein LOC100741757 isoform X1"
"4327","XP_003492729.1","BIMP14163",100741990,"LOC100741990","serine/arginine repetitive matrix protein 1 isoform X1"
"4328","XP_003492730.1","BIMP14200",100742110,"LOC100742110","DNA-directed RNA polymerase III subunit RPC4"
"4329","XP_003492731.1","BIMP14162",100742230,"LOC100742230","uncharacterized protein LOC100742230"
"4330","XP_003492733.1","BIMP14201",100742480,"LOC100742480","mitotic spindle assembly checkpoint protein MAD2A"
"4331","XP_003492734.2","BIMP14190",100742722,"LOC100742722","transcription factor VBP"
"4332","XP_003492741.1","BIMP14172",100743566,"LOC100743566","uncharacterized protein LOC100743566"
"4333","XP_003492742.1","BIMP14159",100743681,"LOC100743681","pro-neuregulin-2, membrane-bound isoform, partial"
"4334","XP_003492744.1","BIMP20730",100743914,"LOC100743914","dnaJ protein homolog 1"
"4335","XP_003492745.1","BIMP20722",100744032,"LOC100744032","kinesin-like protein KIF21A isoform X2"
"4336","XP_003492746.1","BIMP20722",100744032,"LOC100744032","kinesin-like protein KIF21A isoform X1"
"4337","XP_003492747.1","BIMP20723",100744223,"LOC100744223","histone-lysine N-methyltransferase, H3 lysine-79 specific isoform X1"
"4338","XP_003492749.1","BIMP20731",100744427,"LOC100744427","bifunctional arginine demethylase and lysyl-hydroxylase PSR"
"4339","XP_003492750.1","BIMP20732",100744548,"LOC100744548","ankyrin repeat and zinc finger domain-containing protein 1 isoform X1"
"4340","XP_003492752.1","BIMP25208",100744785,"LOC100744785","40S ribosomal protein S29 isoform X2"
"4341","XP_003492753.1","BIMP20720",100744908,"LOC100744908","zinc finger protein 91 isoform X1"
"4342","XP_003492754.1","BIMP20735",100745029,"LOC100745029","uncharacterized protein LOC100745029 isoform X1"
"4343","XP_003492758.1","BIMP20719",100745468,"LOC100745468","spastin isoform X2"
"4344","XP_003492759.1","BIMP20737",100745586,"LOC100745586","nucleolysin TIAR"
"4345","XP_003492760.1","BIMP20718",100745708,"LOC100745708","putative cysteine proteinase CG12163"
"4346","XP_003492761.1","BIMP20739",100745831,"LOC100745831","synaptosomal-associated protein 25 isoform X1"
"4347","XP_003492763.1","BIMP20716",100746032,"LOC100746032","protein similar isoform X3"
"4348","XP_003492764.1","BIMP20715",100746155,"LOC100746155","mitochondrial intermembrane space import and assembly protein 40-B"
"4349","XP_003492765.1","BIMP20725",100746275,"LOC100746275","cilia- and flagella-associated protein 57"
"4350","XP_003492768.1","BIMP20741",100746709,"LOC100746709","39S ribosomal protein L11, mitochondrial"
"4351","XP_003492769.1","BIMP20743",100746830,"LOC100746830","uncharacterized protein LOC100746830 isoform X1"
"4352","XP_003492773.1","BIMP20728",100747299,"LOC100747299","very-long-chain enoyl-CoA reductase"
"4353","XP_003492776.1","BIMP20729",100747660,"LOC100747660","cysteine-rich protein 2-binding protein"
"4354","XP_003492806.1","BIMP16950",100741034,"LOC100741034","signal recognition particle 9 kDa protein"
"4355","XP_003492808.1","BIMP16951",100741270,"LOC100741270","thyroid receptor-interacting protein 11 isoform X1"
"4356","XP_003492810.1","BIMP16953",100741595,"LOC100741595","protein lethal(2)essential for life"
"4357","XP_003492811.1","BIMP16934",100741712,"LOC100741712","protein lethal(2)essential for life-like"
"4358","XP_003492813.1","BIMP16933",100741951,"LOC100741951","uncharacterized protein LOC100741951"
"4359","XP_003492814.1","BIMP16948",100742072,"LOC100742072","phospholipase D2"
"4360","XP_003492819.1","BIMP16947",100742799,"LOC100742799","DNA-binding protein D-ETS-4 isoform X1"
"4361","XP_003492822.1","BIMP19238",100743156,"LOC100743156","dedicator of cytokinesis protein 1 isoform X8"
"4362","XP_003492823.1","BIMP19239",100743276,"LOC100743276","uncharacterized protein LOC100743276 isoform X1"
"4363","XP_003492824.1","BIMP19240",100743396,"LOC100743396","coiled-coil domain-containing protein 142 isoform X1"
"4364","XP_003492825.1","BIMP19241",100743516,"LOC100743516","uncharacterized protein LOC100743516 isoform X1"
"4365","XP_003492830.1","BIMP19233",100744106,"LOC100744106","uncharacterized protein LOC100744106 isoform X1"
"4366","XP_003492831.1","BIMP19232",100744224,"LOC100744224","uncharacterized protein LOC100744224 isoform X1"
"4367","XP_003492836.1","BIMP25136",100744824,"LOC100744824","mediator of RNA polymerase II transcription subunit 26 isoform X1"
"4368","XP_003492837.1","BIMP25137",100744944,"LOC100744944","ras-like protein 2 isoform X1"
"4369","XP_003492839.1","BIMP25128",100745185,"LOC100745185","regulator of G-protein signaling 7"
"4370","XP_003492840.1","BIMP25139",100745311,"LOC100745311","thioredoxin domain-containing protein 9"
"4371","XP_003492841.1","BIMP25126",100745432,"LOC100745432","polycomb protein Scm isoform X1"
"4372","XP_003492842.2","BIMP25140",100745549,"LOC100745549","mRNA (2\\'-O-methyladenosine-N(6)-)-methyltransferase isoform X1"
"4373","XP_003492843.1","BIMP25125",100745671,"LOC100745671","2-oxoglutarate and iron-dependent oxygenase JMJD4"
"4374","XP_003492844.1","BIMP25141",100745793,"LOC100745793","cyclin-Y"
"4375","XP_003492846.1","BIMP25123",100746033,"LOC100746033","UTP--glucose-1-phosphate uridylyltransferase isoform X2"
"4376","XP_003492847.1","BIMP25143",100746156,"LOC100746156","m7GpppX diphosphatase"
"4377","XP_003492849.1","BIMP25120",100746395,"LOC100746395","eukaryotic initiation factor 4A-I"
"4378","XP_003492853.1","BIMP25117",100746901,"LOC100746901","probable histone-lysine N-methyltransferase CG1716 isoform X1"
"4379","XP_003492856.1","BIMP25146",100747224,"LOC100747224","60S ribosomal protein L23a"
"4380","XP_003492858.1","BIMP25147",100747462,"LOC100747462","WASH complex subunit 4"
"4381","XP_003492859.1","BIMP25113",100747576,"LOC100747576","CUE domain-containing protein 1"
"4382","XP_003492860.1","BIMP25148",100747698,"LOC100747698","protein-lysine N-methyltransferase EEF2KMT"
"4383","XP_003492863.1","BIMP25107",100748061,"LOC100748061","protein TAPT1 homolog"
"4384","XP_003492869.1","BIMP25109",100748785,"LOC100748785","hexamerin"
"4385","XP_003492870.1","BIMP25108",100748899,"LOC100748899","hexamerin-like"
"4386","XP_003492878.1","BIMP21611",100749967,"LOC100749967","aminopeptidase N-like"
"4387","XP_003492881.1","BIMP24413",100740109,"LOC100740109","39S ribosomal protein L51, mitochondrial"
"4388","XP_003492882.1","BIMP24403",100740231,"LOC100740231","dipeptidyl peptidase 9 isoform X1"
"4389","XP_003492889.1","BIMP24411",100741234,"LOC100741234","glucose dehydrogenase"
"4390","XP_003492890.2","BIMP24412",100741358,"LOC100741358","tenascin"
"4391","XP_003492891.1","BIMP24406",100741596,"LOC100741596","gamma-aminobutyric acid type B receptor subunit 2 isoform X1"
"4392","XP_003492891.1","BIMP24407",100741596,"LOC100741596","gamma-aminobutyric acid type B receptor subunit 2 isoform X1"
"4393","XP_003492892.2","BIMP24408",100741713,"LOC100741713","aldehyde dehydrogenase, mitochondrial"
"4394","XP_003492903.1","BIMP16562",100743479,"LOC100743479","sorting nexin-14"
"4395","XP_003492904.1","BIMP16560",100743602,"LOC100743602","protein CLP1 homolog"
"4396","XP_003492906.1","BIMP16574",100743836,"LOC100743836","ras-related protein Rab-8A isoform X2"
"4397","XP_003492907.1","BIMP16574",100743836,"LOC100743836","ras-related protein Rab-8A isoform X1"
"4398","XP_003492908.1","BIMP16573",100744033,"LOC100744033","cysteine-rich venom protein 6"
"4399","XP_003492909.1","BIMP16575",100744147,"LOC100744147","dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1"
"4400","XP_003492910.1","BIMP16578",100744341,"LOC100744341","pre-rRNA-processing protein TSR1 homolog"
"4401","XP_003492911.1","BIMP16558",100744464,"LOC100744464","DNA replication complex GINS protein PSF3 isoform X1"
"4402","XP_003492913.2","BIMP16557",100744706,"LOC100744706","lipase 3"
"4403","XP_003492914.1","BIMP16580",100744825,"LOC100744825","pancreatic triacylglycerol lipase-like"
"4404","XP_003492915.1","BIMP16581",100744945,"LOC100744945","protein SCO2 homolog, mitochondrial"
"4405","XP_003492916.1","BIMP16583",100745066,"LOC100745066","GRB10-interacting GYF protein 2 isoform X2"
"4406","XP_003492917.1","BIMP16582",100745186,"LOC100745186","transcription initiation factor TFIID subunit 10"
"4407","XP_003492920.1","BIMP16555",100745550,"LOC100745550","guanine nucleotide-binding protein subunit beta-2"
"4408","XP_003492924.1","BIMP16552",100745951,"LOC100745951","vacuolar protein sorting-associated protein 37A isoform X2"
"4409","XP_003492926.1","BIMP16554",100746191,"LOC100746191","immunoglobulin domain-containing protein oig-4 isoform X1"
"4410","XP_003492927.1","BIMP16551",100746312,"LOC100746312","40S ribosomal protein S2"
"4411","XP_003492928.1","BIMP16548",100746427,"LOC100746427","aminoacylase-1 isoform X2"
"4412","XP_003492930.1","BIMP16586",100746750,"LOC100746750","protein MANBAL isoform X1"
"4413","XP_003492931.1","BIMP16586",100746750,"LOC100746750","protein MANBAL isoform X2"
"4414","XP_003492933.1","BIMP16545",100747066,"LOC100747066","protein transport protein Sec61 subunit alpha"
"4415","XP_003492934.1","BIMP16588",100747180,"LOC100747180","regucalcin"
"4416","XP_003492936.1","BIMP16544",100747422,"LOC100747422","calcineurin-binding protein cabin-1-like"
"4417","XP_003492938.1","BIMP16543",100747661,"LOC100747661","nuclear pore complex protein Nup160 homolog isoform X1"
"4418","XP_003492939.1","BIMP16592",100747783,"LOC100747783","solute carrier family 35 member E3-like isoform X1"
"4419","XP_003492940.1","BIMP16593",100747904,"LOC100747904","ruvB-like 1"
"4420","XP_003492941.1","BIMP16540",100748023,"LOC100748023","HMG box-containing protein 4 isoform X1"
"4421","XP_003492942.1","BIMP16539",100748143,"LOC100748143","U3 small nucleolar ribonucleoprotein protein IMP4"
"4422","XP_003492943.1","BIMP16569",100748265,"LOC100748265","elongation of very long chain fatty acids protein 6"
"4423","XP_003492946.1","BIMP16570",100748619,"LOC100748619","E3 ubiquitin-protein ligase TRAIP"
"4424","XP_003492948.2","BIMP16577",100748857,"LOC100748857","hepatocyte nuclear factor 4-gamma isoform X2"
"4425","XP_003492949.1","BIMP16549",100748977,"LOC100748977","putative uncharacterized protein DDB_G0270496"
"4426","XP_003492951.1","BIMP16591",100749215,"LOC100749215","uncharacterized protein LOC100749215"
"4427","XP_003492954.1","BIMP14671",100749573,"LOC100749573","alkyldihydroxyacetonephosphate synthase isoform X1"
"4428","XP_003492956.1","BIMP14661",100749813,"LOC100749813","putative ATP synthase subunit f, mitochondrial"
"4429","XP_003492957.1","BIMP14660",100749931,"LOC100749931","divergent protein kinase domain 1C"
"4430","XP_003492959.2","BIMP14672",100750170,"LOC100750170","glycogen-binding subunit 76A isoform X1"
"4431","XP_003492960.1","BIMP14658",100740069,"LOC100740069","heparan sulfate 2-O-sulfotransferase pipe isoform X1"
"4432","XP_003492961.1","BIMP14666",100740193,"LOC100740193","uncharacterized protein LOC100740193"
"4433","XP_003492963.1","BIMP14657",100740433,"LOC100740433","putative uncharacterized protein DDB_G0287457"
"4434","XP_003492964.1","BIMP14656",100740554,"LOC100740554","putative uncharacterized protein DDB_G0271606"
"4435","XP_003492970.1","BIMP14678",100741271,"LOC100741271","transcription factor 21"
"4436","XP_003492971.1","BIMP14652",100741395,"LOC100741395","puromycin-sensitive aminopeptidase isoform X1"
"4437","XP_003492973.1","BIMP14680",100741714,"LOC100741714","cyclin-dependent kinase 14 isoform X2"
"4438","XP_003492974.1","BIMP14681",100741833,"LOC100741833","RAB11-binding protein RELCH homolog"
"4439","XP_003492975.1","BIMP14651",100741953,"LOC100741953","lysophosphatidylcholine acyltransferase isoform X1"
"4440","XP_003492976.1","BIMP14683",100742074,"LOC100742074","sodium-dependent neutral amino acid transporter B(0)AT3"
"4441","XP_003492977.1","BIMP14684",100742196,"LOC100742196","protein arginine N-methyltransferase 7 isoform X2"
"4442","XP_003492979.1","BIMP14650",100742445,"LOC100742445","DTW domain-containing protein 2"
"4443","XP_003492980.1","BIMP14665",100742567,"LOC100742567","uncharacterized protein LOC100742567"
"4444","XP_003492981.1","BIMP14649",100742682,"LOC100742682","pyridoxine-5\\'-phosphate oxidase"
"4445","XP_003492985.1","BIMP14669",100743236,"LOC100743236","uncharacterized protein LOC100743236 isoform X1"
"4446","XP_003492989.1","BIMP14682",100743717,"LOC100743717","uncharacterized protein LOC100743717 isoform X1"
"4447","XP_003493013.1","BIMP16495",100746670,"LOC100746670","protein MON2 homolog isoform X1"
"4448","XP_003493014.1","BIMP16496",100746789,"LOC100746789","CTD small phosphatase-like protein 2 isoform X2"
"4449","XP_003493016.1","BIMP16494",100746988,"LOC100746988","folliculin-interacting protein 1"
"4450","XP_003493017.1","BIMP16498",100747109,"LOC100747109","T-complex protein 1 subunit delta"
"4451","XP_003493018.1","BIMP16500",100747225,"LOC100747225","uncharacterized protein LOC100747225"
"4452","XP_003493019.1","BIMP16492",100747344,"LOC100747344","E3 ubiquitin-protein ligase parkin"
"4453","XP_003493020.1","BIMP16502",100747463,"LOC100747463","T-box transcription factor T isoform X1"
"4454","XP_003493021.1","BIMP16491",100747577,"LOC100747577","uncharacterized protein LOC100747577 isoform X1"
"4455","XP_003493022.1","BIMP16503",100747699,"LOC100747699","EF-hand domain-containing protein D2 homolog"
"4456","XP_003493024.1","BIMP16488",100748062,"LOC100748062","band 4.1-like protein 5 isoform X1"
"4457","XP_003493025.1","BIMP16487",100748266,"LOC100748266","40S ribosomal protein SA"
"4458","XP_003493026.1","BIMP16508",100748382,"LOC100748382","integrator complex subunit 13"
"4459","XP_003493027.1","BIMP16509",100748502,"LOC100748502","protein enhancer of sevenless 2B"
"4460","XP_003493028.1","BIMP16484",100748620,"LOC100748620","DNA-directed RNA polymerases I, II, and III subunit RPABC1"
"4461","XP_003493032.1","BIMP16481",100749216,"LOC100749216","protein POLR1D"
"4462","XP_003493033.1","BIMP16480",100749332,"LOC100749332","probable 28S ribosomal protein S16, mitochondrial"
"4463","XP_003493034.1","BIMP16511",100749455,"LOC100749455","uncharacterized protein LOC100749455"
